val_loss,val_dice,loss,dice
-1.7218019183450523e-13,1.7218019002750162e-13,-1.5481899970347822e-12,1.5481899951524868e-12
-1.7218090650443728e-13,1.7218090650443728e-13,-5.434345995754235e-13,5.434345749173533e-13
-1.7218246865906745e-13,1.721824713695729e-13,-2.0452303730748296e-12,2.045230372510141e-12
-1.7217881941525524e-13,1.7217881580124799e-13,-3.104562078606616e-12,3.1045620797359934e-12
-1.72183991059618e-13,1.721839919631198e-13,-5.54218513974241e-12,5.542185164024021e-12
-1.7219113414493105e-13,1.7219113595193469e-13,-3.4131045752921934e-12,3.413104768792164e-12
-1.7218833509632242e-13,1.7218833509632242e-13,-3.3573296369194517e-12,3.357329635978304e-12
-1.7219153981724392e-13,1.7219153981724392e-13,-3.993665509483579e-12,3.993665509671809e-12
-1.7219080165626482e-13,1.721907980422576e-13,-4.489765189931819e-13,4.489765189931819e-13
-1.7219170606157705e-13,1.7219170696507886e-13,-3.974165488913469e-13,3.974165485148878e-13
-1.7219301794620574e-13,1.7219301794620574e-13,-7.33868495814142e-12,7.338684960964863e-12
-1.7219744691208035e-13,1.7219744871908397e-13,-8.47409112515651e-13,8.474091358561145e-13
-1.7226279358401966e-13,1.7226279177701605e-13,-5.7968350304995165e-11,5.796835030537163e-11
-1.7226611124266748e-13,1.7226610853216206e-13,-4.4177221107984343e-13,4.4177221277390933e-13
-1.722669478853439e-13,1.7226694878884574e-13,-6.714722348429665e-13,6.714722342782779e-13
-1.7227581936962029e-13,1.722758202731221e-13,-1.1164349052564674e-12,1.1164349046917787e-12
-1.7228526457754623e-13,1.7228526638454987e-13,-2.731761267321382e-12,2.7317612910383047e-12
-1.7228280524561834e-13,1.7228280614912014e-13,-2.332210499393668e-12,2.332210499393668e-12
-1.7228497184295967e-13,1.7228497093945786e-13,-5.474595962380677e-13,5.474595956733791e-13
-1.7228722517647483e-13,1.7228722879048206e-13,-6.238620893002319e-13,6.238620891120023e-13
-1.7228742846438217e-13,1.7228742936788398e-13,-3.943165395003882e-13,3.9431653705340416e-13
-1.7247039029149452e-13,1.724703875809891e-13,-1.0444212711906146e-11,1.044421261496793e-11
-1.724850721959136e-13,1.7248507400291722e-13,-1.9925417178300216e-12,1.992541814580007e-12
-1.7261150010774531e-13,1.7261150010774531e-13,-4.557670866405897e-11,4.5576708664435437e-11
-1.7263076547684857e-13,1.7263076366984496e-13,-2.2229916322844987e-12,2.222991631343351e-12
-1.726350291018919e-13,1.726350291018919e-13,-7.96650650351828e-13,7.966506497871394e-13
-1.7264860602359682e-13,1.7264860512009502e-13,-1.93158277010756e-12,1.9315827697311007e-12
-1.7268087639775904e-13,1.7268087730126087e-13,-9.132469151830312e-12,9.13246915258323e-12
-1.727845207044378e-13,1.727845207044378e-13,-1.1779246570549934e-11,1.1779246572244e-11
-1.7284673945310951e-13,1.7284673945310951e-13,-2.0792967942043425e-12,2.079296792322047e-12
-1.7291800225490335e-13,1.7291800315840516e-13,-2.7180068688735194e-12,2.7180068683088305e-12
-1.7292229930951363e-13,1.7292229930951363e-13,-7.436683899588087e-13,7.436683897705792e-13
-1.7298884402485355e-13,1.7298884492835538e-13,-4.453516346626747e-12,4.453516346626747e-12
-1.730510230194456e-13,1.7305102211594378e-13,-2.390851234077123e-12,2.390851234830041e-12
