slice_name,slice_number,pixdim_x,pixdim_y,size_x,size_y,image_filename,label_filename,train_val_test,volume_name
,31,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_31.npy,Brats18_2013_10_1_seg_slice_31.npy,train,Brats18_2013_10_1
,32,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_32.npy,Brats18_2013_10_1_seg_slice_32.npy,train,Brats18_2013_10_1
,33,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_33.npy,Brats18_2013_10_1_seg_slice_33.npy,train,Brats18_2013_10_1
,34,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_34.npy,Brats18_2013_10_1_seg_slice_34.npy,train,Brats18_2013_10_1
,35,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_35.npy,Brats18_2013_10_1_seg_slice_35.npy,train,Brats18_2013_10_1
,36,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_36.npy,Brats18_2013_10_1_seg_slice_36.npy,train,Brats18_2013_10_1
,37,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_37.npy,Brats18_2013_10_1_seg_slice_37.npy,train,Brats18_2013_10_1
,38,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_38.npy,Brats18_2013_10_1_seg_slice_38.npy,train,Brats18_2013_10_1
,39,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_39.npy,Brats18_2013_10_1_seg_slice_39.npy,train,Brats18_2013_10_1
,40,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_40.npy,Brats18_2013_10_1_seg_slice_40.npy,train,Brats18_2013_10_1
,41,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_41.npy,Brats18_2013_10_1_seg_slice_41.npy,train,Brats18_2013_10_1
,42,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_42.npy,Brats18_2013_10_1_seg_slice_42.npy,train,Brats18_2013_10_1
,43,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_43.npy,Brats18_2013_10_1_seg_slice_43.npy,train,Brats18_2013_10_1
,44,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_44.npy,Brats18_2013_10_1_seg_slice_44.npy,train,Brats18_2013_10_1
,45,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_45.npy,Brats18_2013_10_1_seg_slice_45.npy,train,Brats18_2013_10_1
,46,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_46.npy,Brats18_2013_10_1_seg_slice_46.npy,train,Brats18_2013_10_1
,47,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_47.npy,Brats18_2013_10_1_seg_slice_47.npy,train,Brats18_2013_10_1
,48,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_48.npy,Brats18_2013_10_1_seg_slice_48.npy,train,Brats18_2013_10_1
,49,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_49.npy,Brats18_2013_10_1_seg_slice_49.npy,train,Brats18_2013_10_1
,50,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_50.npy,Brats18_2013_10_1_seg_slice_50.npy,train,Brats18_2013_10_1
,51,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_51.npy,Brats18_2013_10_1_seg_slice_51.npy,train,Brats18_2013_10_1
,52,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_52.npy,Brats18_2013_10_1_seg_slice_52.npy,train,Brats18_2013_10_1
,53,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_53.npy,Brats18_2013_10_1_seg_slice_53.npy,train,Brats18_2013_10_1
,54,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_54.npy,Brats18_2013_10_1_seg_slice_54.npy,train,Brats18_2013_10_1
,55,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_55.npy,Brats18_2013_10_1_seg_slice_55.npy,train,Brats18_2013_10_1
,56,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_56.npy,Brats18_2013_10_1_seg_slice_56.npy,train,Brats18_2013_10_1
,57,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_57.npy,Brats18_2013_10_1_seg_slice_57.npy,train,Brats18_2013_10_1
,58,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_58.npy,Brats18_2013_10_1_seg_slice_58.npy,train,Brats18_2013_10_1
,59,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_59.npy,Brats18_2013_10_1_seg_slice_59.npy,train,Brats18_2013_10_1
,60,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_60.npy,Brats18_2013_10_1_seg_slice_60.npy,train,Brats18_2013_10_1
,61,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_61.npy,Brats18_2013_10_1_seg_slice_61.npy,train,Brats18_2013_10_1
,62,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_62.npy,Brats18_2013_10_1_seg_slice_62.npy,train,Brats18_2013_10_1
,63,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_63.npy,Brats18_2013_10_1_seg_slice_63.npy,train,Brats18_2013_10_1
,64,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_64.npy,Brats18_2013_10_1_seg_slice_64.npy,train,Brats18_2013_10_1
,65,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_65.npy,Brats18_2013_10_1_seg_slice_65.npy,train,Brats18_2013_10_1
,66,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_66.npy,Brats18_2013_10_1_seg_slice_66.npy,train,Brats18_2013_10_1
,67,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_67.npy,Brats18_2013_10_1_seg_slice_67.npy,train,Brats18_2013_10_1
,68,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_68.npy,Brats18_2013_10_1_seg_slice_68.npy,train,Brats18_2013_10_1
,69,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_69.npy,Brats18_2013_10_1_seg_slice_69.npy,train,Brats18_2013_10_1
,70,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_70.npy,Brats18_2013_10_1_seg_slice_70.npy,train,Brats18_2013_10_1
,71,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_71.npy,Brats18_2013_10_1_seg_slice_71.npy,train,Brats18_2013_10_1
,72,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_72.npy,Brats18_2013_10_1_seg_slice_72.npy,train,Brats18_2013_10_1
,73,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_73.npy,Brats18_2013_10_1_seg_slice_73.npy,train,Brats18_2013_10_1
,74,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_74.npy,Brats18_2013_10_1_seg_slice_74.npy,train,Brats18_2013_10_1
,75,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_75.npy,Brats18_2013_10_1_seg_slice_75.npy,train,Brats18_2013_10_1
,76,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_76.npy,Brats18_2013_10_1_seg_slice_76.npy,train,Brats18_2013_10_1
,77,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_77.npy,Brats18_2013_10_1_seg_slice_77.npy,train,Brats18_2013_10_1
,78,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_78.npy,Brats18_2013_10_1_seg_slice_78.npy,train,Brats18_2013_10_1
,79,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_79.npy,Brats18_2013_10_1_seg_slice_79.npy,train,Brats18_2013_10_1
,80,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_80.npy,Brats18_2013_10_1_seg_slice_80.npy,train,Brats18_2013_10_1
,81,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_81.npy,Brats18_2013_10_1_seg_slice_81.npy,train,Brats18_2013_10_1
,82,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_82.npy,Brats18_2013_10_1_seg_slice_82.npy,train,Brats18_2013_10_1
,83,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_83.npy,Brats18_2013_10_1_seg_slice_83.npy,train,Brats18_2013_10_1
,84,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_84.npy,Brats18_2013_10_1_seg_slice_84.npy,train,Brats18_2013_10_1
,85,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_85.npy,Brats18_2013_10_1_seg_slice_85.npy,train,Brats18_2013_10_1
,86,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_86.npy,Brats18_2013_10_1_seg_slice_86.npy,train,Brats18_2013_10_1
,87,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_87.npy,Brats18_2013_10_1_seg_slice_87.npy,train,Brats18_2013_10_1
,88,1.0,1.0,240,240,Brats18_2013_10_1_t2_slice_88.npy,Brats18_2013_10_1_seg_slice_88.npy,train,Brats18_2013_10_1
,45,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_45.npy,Brats18_2013_11_1_seg_slice_45.npy,train,Brats18_2013_11_1
,46,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_46.npy,Brats18_2013_11_1_seg_slice_46.npy,train,Brats18_2013_11_1
,47,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_47.npy,Brats18_2013_11_1_seg_slice_47.npy,train,Brats18_2013_11_1
,48,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_48.npy,Brats18_2013_11_1_seg_slice_48.npy,train,Brats18_2013_11_1
,49,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_49.npy,Brats18_2013_11_1_seg_slice_49.npy,train,Brats18_2013_11_1
,50,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_50.npy,Brats18_2013_11_1_seg_slice_50.npy,train,Brats18_2013_11_1
,51,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_51.npy,Brats18_2013_11_1_seg_slice_51.npy,train,Brats18_2013_11_1
,52,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_52.npy,Brats18_2013_11_1_seg_slice_52.npy,train,Brats18_2013_11_1
,53,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_53.npy,Brats18_2013_11_1_seg_slice_53.npy,train,Brats18_2013_11_1
,54,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_54.npy,Brats18_2013_11_1_seg_slice_54.npy,train,Brats18_2013_11_1
,55,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_55.npy,Brats18_2013_11_1_seg_slice_55.npy,train,Brats18_2013_11_1
,56,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_56.npy,Brats18_2013_11_1_seg_slice_56.npy,train,Brats18_2013_11_1
,57,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_57.npy,Brats18_2013_11_1_seg_slice_57.npy,train,Brats18_2013_11_1
,58,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_58.npy,Brats18_2013_11_1_seg_slice_58.npy,train,Brats18_2013_11_1
,59,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_59.npy,Brats18_2013_11_1_seg_slice_59.npy,train,Brats18_2013_11_1
,60,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_60.npy,Brats18_2013_11_1_seg_slice_60.npy,train,Brats18_2013_11_1
,61,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_61.npy,Brats18_2013_11_1_seg_slice_61.npy,train,Brats18_2013_11_1
,62,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_62.npy,Brats18_2013_11_1_seg_slice_62.npy,train,Brats18_2013_11_1
,63,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_63.npy,Brats18_2013_11_1_seg_slice_63.npy,train,Brats18_2013_11_1
,64,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_64.npy,Brats18_2013_11_1_seg_slice_64.npy,train,Brats18_2013_11_1
,65,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_65.npy,Brats18_2013_11_1_seg_slice_65.npy,train,Brats18_2013_11_1
,66,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_66.npy,Brats18_2013_11_1_seg_slice_66.npy,train,Brats18_2013_11_1
,67,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_67.npy,Brats18_2013_11_1_seg_slice_67.npy,train,Brats18_2013_11_1
,68,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_68.npy,Brats18_2013_11_1_seg_slice_68.npy,train,Brats18_2013_11_1
,69,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_69.npy,Brats18_2013_11_1_seg_slice_69.npy,train,Brats18_2013_11_1
,70,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_70.npy,Brats18_2013_11_1_seg_slice_70.npy,train,Brats18_2013_11_1
,71,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_71.npy,Brats18_2013_11_1_seg_slice_71.npy,train,Brats18_2013_11_1
,72,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_72.npy,Brats18_2013_11_1_seg_slice_72.npy,train,Brats18_2013_11_1
,73,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_73.npy,Brats18_2013_11_1_seg_slice_73.npy,train,Brats18_2013_11_1
,74,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_74.npy,Brats18_2013_11_1_seg_slice_74.npy,train,Brats18_2013_11_1
,75,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_75.npy,Brats18_2013_11_1_seg_slice_75.npy,train,Brats18_2013_11_1
,76,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_76.npy,Brats18_2013_11_1_seg_slice_76.npy,train,Brats18_2013_11_1
,77,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_77.npy,Brats18_2013_11_1_seg_slice_77.npy,train,Brats18_2013_11_1
,78,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_78.npy,Brats18_2013_11_1_seg_slice_78.npy,train,Brats18_2013_11_1
,79,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_79.npy,Brats18_2013_11_1_seg_slice_79.npy,train,Brats18_2013_11_1
,80,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_80.npy,Brats18_2013_11_1_seg_slice_80.npy,train,Brats18_2013_11_1
,81,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_81.npy,Brats18_2013_11_1_seg_slice_81.npy,train,Brats18_2013_11_1
,82,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_82.npy,Brats18_2013_11_1_seg_slice_82.npy,train,Brats18_2013_11_1
,83,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_83.npy,Brats18_2013_11_1_seg_slice_83.npy,train,Brats18_2013_11_1
,84,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_84.npy,Brats18_2013_11_1_seg_slice_84.npy,train,Brats18_2013_11_1
,85,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_85.npy,Brats18_2013_11_1_seg_slice_85.npy,train,Brats18_2013_11_1
,86,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_86.npy,Brats18_2013_11_1_seg_slice_86.npy,train,Brats18_2013_11_1
,87,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_87.npy,Brats18_2013_11_1_seg_slice_87.npy,train,Brats18_2013_11_1
,88,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_88.npy,Brats18_2013_11_1_seg_slice_88.npy,train,Brats18_2013_11_1
,89,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_89.npy,Brats18_2013_11_1_seg_slice_89.npy,train,Brats18_2013_11_1
,90,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_90.npy,Brats18_2013_11_1_seg_slice_90.npy,train,Brats18_2013_11_1
,91,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_91.npy,Brats18_2013_11_1_seg_slice_91.npy,train,Brats18_2013_11_1
,92,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_92.npy,Brats18_2013_11_1_seg_slice_92.npy,train,Brats18_2013_11_1
,93,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_93.npy,Brats18_2013_11_1_seg_slice_93.npy,train,Brats18_2013_11_1
,94,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_94.npy,Brats18_2013_11_1_seg_slice_94.npy,train,Brats18_2013_11_1
,95,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_95.npy,Brats18_2013_11_1_seg_slice_95.npy,train,Brats18_2013_11_1
,96,1.0,1.0,240,240,Brats18_2013_11_1_t2_slice_96.npy,Brats18_2013_11_1_seg_slice_96.npy,train,Brats18_2013_11_1
