patient_number,slice_number,resampled_pixdim_x,resampled_pixdim_y,resampled_size_x,resampled_size_y,image_filename,label_filename,train_val_test
21,0,0.625,0.625,320,320,prostate_21_slice_0.npy,label_21_slice_0.npy,train
21,1,0.625,0.625,320,320,prostate_21_slice_1.npy,label_21_slice_1.npy,train
21,2,0.625,0.625,320,320,prostate_21_slice_2.npy,label_21_slice_2.npy,train
21,3,0.625,0.625,320,320,prostate_21_slice_3.npy,label_21_slice_3.npy,train
21,4,0.625,0.625,320,320,prostate_21_slice_4.npy,label_21_slice_4.npy,train
21,5,0.625,0.625,320,320,prostate_21_slice_5.npy,label_21_slice_5.npy,train
21,6,0.625,0.625,320,320,prostate_21_slice_6.npy,label_21_slice_6.npy,train
21,7,0.625,0.625,320,320,prostate_21_slice_7.npy,label_21_slice_7.npy,train
21,8,0.625,0.625,320,320,prostate_21_slice_8.npy,label_21_slice_8.npy,train
21,9,0.625,0.625,320,320,prostate_21_slice_9.npy,label_21_slice_9.npy,train
21,10,0.625,0.625,320,320,prostate_21_slice_10.npy,label_21_slice_10.npy,train
21,11,0.625,0.625,320,320,prostate_21_slice_11.npy,label_21_slice_11.npy,train
21,12,0.625,0.625,320,320,prostate_21_slice_12.npy,label_21_slice_12.npy,train
21,13,0.625,0.625,320,320,prostate_21_slice_13.npy,label_21_slice_13.npy,train
21,14,0.625,0.625,320,320,prostate_21_slice_14.npy,label_21_slice_14.npy,train
21,15,0.625,0.625,320,320,prostate_21_slice_15.npy,label_21_slice_15.npy,train
21,16,0.625,0.625,320,320,prostate_21_slice_16.npy,label_21_slice_16.npy,train
21,17,0.625,0.625,320,320,prostate_21_slice_17.npy,label_21_slice_17.npy,train
21,18,0.625,0.625,320,320,prostate_21_slice_18.npy,label_21_slice_18.npy,train
21,19,0.625,0.625,320,320,prostate_21_slice_19.npy,label_21_slice_19.npy,train
31,0,0.625,0.625,323,320,prostate_31_slice_0.npy,label_31_slice_0.npy,train
31,1,0.625,0.625,323,320,prostate_31_slice_1.npy,label_31_slice_1.npy,train
31,2,0.625,0.625,323,320,prostate_31_slice_2.npy,label_31_slice_2.npy,train
31,3,0.625,0.625,323,320,prostate_31_slice_3.npy,label_31_slice_3.npy,train
31,4,0.625,0.625,323,320,prostate_31_slice_4.npy,label_31_slice_4.npy,train
31,5,0.625,0.625,323,320,prostate_31_slice_5.npy,label_31_slice_5.npy,train
31,6,0.625,0.625,323,320,prostate_31_slice_6.npy,label_31_slice_6.npy,train
31,7,0.625,0.625,323,320,prostate_31_slice_7.npy,label_31_slice_7.npy,train
31,8,0.625,0.625,323,320,prostate_31_slice_8.npy,label_31_slice_8.npy,train
31,9,0.625,0.625,323,320,prostate_31_slice_9.npy,label_31_slice_9.npy,train
31,10,0.625,0.625,323,320,prostate_31_slice_10.npy,label_31_slice_10.npy,train
31,11,0.625,0.625,323,320,prostate_31_slice_11.npy,label_31_slice_11.npy,train
31,12,0.625,0.625,323,320,prostate_31_slice_12.npy,label_31_slice_12.npy,train
31,13,0.625,0.625,323,320,prostate_31_slice_13.npy,label_31_slice_13.npy,train
31,14,0.625,0.625,323,320,prostate_31_slice_14.npy,label_31_slice_14.npy,train
31,15,0.625,0.625,323,320,prostate_31_slice_15.npy,label_31_slice_15.npy,train
31,16,0.625,0.625,323,320,prostate_31_slice_16.npy,label_31_slice_16.npy,train
31,17,0.625,0.625,323,320,prostate_31_slice_17.npy,label_31_slice_17.npy,train
31,18,0.625,0.625,323,320,prostate_31_slice_18.npy,label_31_slice_18.npy,train
31,19,0.625,0.625,323,320,prostate_31_slice_19.npy,label_31_slice_19.npy,train
31,20,0.625,0.625,323,320,prostate_31_slice_20.npy,label_31_slice_20.npy,train
31,21,0.625,0.625,323,320,prostate_31_slice_21.npy,label_31_slice_21.npy,train
02,0,0.625,0.625,320,320,prostate_02_slice_0.npy,label_02_slice_0.npy,train
02,1,0.625,0.625,320,320,prostate_02_slice_1.npy,label_02_slice_1.npy,train
02,2,0.625,0.625,320,320,prostate_02_slice_2.npy,label_02_slice_2.npy,train
02,3,0.625,0.625,320,320,prostate_02_slice_3.npy,label_02_slice_3.npy,train
02,4,0.625,0.625,320,320,prostate_02_slice_4.npy,label_02_slice_4.npy,train
02,5,0.625,0.625,320,320,prostate_02_slice_5.npy,label_02_slice_5.npy,train
02,6,0.625,0.625,320,320,prostate_02_slice_6.npy,label_02_slice_6.npy,train
02,7,0.625,0.625,320,320,prostate_02_slice_7.npy,label_02_slice_7.npy,train
02,8,0.625,0.625,320,320,prostate_02_slice_8.npy,label_02_slice_8.npy,train
02,9,0.625,0.625,320,320,prostate_02_slice_9.npy,label_02_slice_9.npy,train
02,10,0.625,0.625,320,320,prostate_02_slice_10.npy,label_02_slice_10.npy,train
02,11,0.625,0.625,320,320,prostate_02_slice_11.npy,label_02_slice_11.npy,train
02,12,0.625,0.625,320,320,prostate_02_slice_12.npy,label_02_slice_12.npy,train
02,13,0.625,0.625,320,320,prostate_02_slice_13.npy,label_02_slice_13.npy,train
02,14,0.625,0.625,320,320,prostate_02_slice_14.npy,label_02_slice_14.npy,train
02,15,0.625,0.625,320,320,prostate_02_slice_15.npy,label_02_slice_15.npy,train
02,16,0.625,0.625,320,320,prostate_02_slice_16.npy,label_02_slice_16.npy,train
02,17,0.625,0.625,320,320,prostate_02_slice_17.npy,label_02_slice_17.npy,train
02,18,0.625,0.625,320,320,prostate_02_slice_18.npy,label_02_slice_18.npy,train
02,19,0.625,0.625,320,320,prostate_02_slice_19.npy,label_02_slice_19.npy,train
02,20,0.625,0.625,320,320,prostate_02_slice_20.npy,label_02_slice_20.npy,train
02,21,0.625,0.625,320,320,prostate_02_slice_21.npy,label_02_slice_21.npy,train
02,22,0.625,0.625,320,320,prostate_02_slice_22.npy,label_02_slice_22.npy,train
02,23,0.625,0.625,320,320,prostate_02_slice_23.npy,label_02_slice_23.npy,train
41,0,0.625,0.625,308,308,prostate_41_slice_0.npy,label_41_slice_0.npy,train
41,1,0.625,0.625,308,308,prostate_41_slice_1.npy,label_41_slice_1.npy,train
41,2,0.625,0.625,308,308,prostate_41_slice_2.npy,label_41_slice_2.npy,train
41,3,0.625,0.625,308,308,prostate_41_slice_3.npy,label_41_slice_3.npy,train
41,4,0.625,0.625,308,308,prostate_41_slice_4.npy,label_41_slice_4.npy,train
41,5,0.625,0.625,308,308,prostate_41_slice_5.npy,label_41_slice_5.npy,train
41,6,0.625,0.625,308,308,prostate_41_slice_6.npy,label_41_slice_6.npy,train
41,7,0.625,0.625,308,308,prostate_41_slice_7.npy,label_41_slice_7.npy,train
41,8,0.625,0.625,308,308,prostate_41_slice_8.npy,label_41_slice_8.npy,train
41,9,0.625,0.625,308,308,prostate_41_slice_9.npy,label_41_slice_9.npy,train
41,10,0.625,0.625,308,308,prostate_41_slice_10.npy,label_41_slice_10.npy,train
41,11,0.625,0.625,308,308,prostate_41_slice_11.npy,label_41_slice_11.npy,train
41,12,0.625,0.625,308,308,prostate_41_slice_12.npy,label_41_slice_12.npy,train
41,13,0.625,0.625,308,308,prostate_41_slice_13.npy,label_41_slice_13.npy,train
41,14,0.625,0.625,308,308,prostate_41_slice_14.npy,label_41_slice_14.npy,train
41,15,0.625,0.625,308,308,prostate_41_slice_15.npy,label_41_slice_15.npy,train
41,16,0.625,0.625,308,308,prostate_41_slice_16.npy,label_41_slice_16.npy,train
41,17,0.625,0.625,308,308,prostate_41_slice_17.npy,label_41_slice_17.npy,train
41,18,0.625,0.625,308,308,prostate_41_slice_18.npy,label_41_slice_18.npy,train
46,0,0.625,0.625,320,320,prostate_46_slice_0.npy,label_46_slice_0.npy,train
46,1,0.625,0.625,320,320,prostate_46_slice_1.npy,label_46_slice_1.npy,train
46,2,0.625,0.625,320,320,prostate_46_slice_2.npy,label_46_slice_2.npy,train
46,3,0.625,0.625,320,320,prostate_46_slice_3.npy,label_46_slice_3.npy,train
46,4,0.625,0.625,320,320,prostate_46_slice_4.npy,label_46_slice_4.npy,train
46,5,0.625,0.625,320,320,prostate_46_slice_5.npy,label_46_slice_5.npy,train
46,6,0.625,0.625,320,320,prostate_46_slice_6.npy,label_46_slice_6.npy,train
46,7,0.625,0.625,320,320,prostate_46_slice_7.npy,label_46_slice_7.npy,train
46,8,0.625,0.625,320,320,prostate_46_slice_8.npy,label_46_slice_8.npy,train
46,9,0.625,0.625,320,320,prostate_46_slice_9.npy,label_46_slice_9.npy,train
46,10,0.625,0.625,320,320,prostate_46_slice_10.npy,label_46_slice_10.npy,train
46,11,0.625,0.625,320,320,prostate_46_slice_11.npy,label_46_slice_11.npy,train
46,12,0.625,0.625,320,320,prostate_46_slice_12.npy,label_46_slice_12.npy,train
46,13,0.625,0.625,320,320,prostate_46_slice_13.npy,label_46_slice_13.npy,train
46,14,0.625,0.625,320,320,prostate_46_slice_14.npy,label_46_slice_14.npy,train
46,15,0.625,0.625,320,320,prostate_46_slice_15.npy,label_46_slice_15.npy,train
46,16,0.625,0.625,320,320,prostate_46_slice_16.npy,label_46_slice_16.npy,train
46,17,0.625,0.625,320,320,prostate_46_slice_17.npy,label_46_slice_17.npy,train
46,18,0.625,0.625,320,320,prostate_46_slice_18.npy,label_46_slice_18.npy,train
46,19,0.625,0.625,320,320,prostate_46_slice_19.npy,label_46_slice_19.npy,train
40,0,0.625,0.625,320,320,prostate_40_slice_0.npy,label_40_slice_0.npy,train
40,1,0.625,0.625,320,320,prostate_40_slice_1.npy,label_40_slice_1.npy,train
40,2,0.625,0.625,320,320,prostate_40_slice_2.npy,label_40_slice_2.npy,train
40,3,0.625,0.625,320,320,prostate_40_slice_3.npy,label_40_slice_3.npy,train
40,4,0.625,0.625,320,320,prostate_40_slice_4.npy,label_40_slice_4.npy,train
40,5,0.625,0.625,320,320,prostate_40_slice_5.npy,label_40_slice_5.npy,train
40,6,0.625,0.625,320,320,prostate_40_slice_6.npy,label_40_slice_6.npy,train
40,7,0.625,0.625,320,320,prostate_40_slice_7.npy,label_40_slice_7.npy,train
40,8,0.625,0.625,320,320,prostate_40_slice_8.npy,label_40_slice_8.npy,train
40,9,0.625,0.625,320,320,prostate_40_slice_9.npy,label_40_slice_9.npy,train
40,10,0.625,0.625,320,320,prostate_40_slice_10.npy,label_40_slice_10.npy,train
40,11,0.625,0.625,320,320,prostate_40_slice_11.npy,label_40_slice_11.npy,train
40,12,0.625,0.625,320,320,prostate_40_slice_12.npy,label_40_slice_12.npy,train
40,13,0.625,0.625,320,320,prostate_40_slice_13.npy,label_40_slice_13.npy,train
40,14,0.625,0.625,320,320,prostate_40_slice_14.npy,label_40_slice_14.npy,train
40,15,0.625,0.625,320,320,prostate_40_slice_15.npy,label_40_slice_15.npy,train
40,16,0.625,0.625,320,320,prostate_40_slice_16.npy,label_40_slice_16.npy,train
40,17,0.625,0.625,320,320,prostate_40_slice_17.npy,label_40_slice_17.npy,train
40,18,0.625,0.625,320,320,prostate_40_slice_18.npy,label_40_slice_18.npy,train
40,19,0.625,0.625,320,320,prostate_40_slice_19.npy,label_40_slice_19.npy,train
32,0,0.625,0.625,320,320,prostate_32_slice_0.npy,label_32_slice_0.npy,train
32,1,0.625,0.625,320,320,prostate_32_slice_1.npy,label_32_slice_1.npy,train
32,2,0.625,0.625,320,320,prostate_32_slice_2.npy,label_32_slice_2.npy,train
32,3,0.625,0.625,320,320,prostate_32_slice_3.npy,label_32_slice_3.npy,train
32,4,0.625,0.625,320,320,prostate_32_slice_4.npy,label_32_slice_4.npy,train
32,5,0.625,0.625,320,320,prostate_32_slice_5.npy,label_32_slice_5.npy,train
32,6,0.625,0.625,320,320,prostate_32_slice_6.npy,label_32_slice_6.npy,train
32,7,0.625,0.625,320,320,prostate_32_slice_7.npy,label_32_slice_7.npy,train
32,8,0.625,0.625,320,320,prostate_32_slice_8.npy,label_32_slice_8.npy,train
32,9,0.625,0.625,320,320,prostate_32_slice_9.npy,label_32_slice_9.npy,train
32,10,0.625,0.625,320,320,prostate_32_slice_10.npy,label_32_slice_10.npy,train
32,11,0.625,0.625,320,320,prostate_32_slice_11.npy,label_32_slice_11.npy,train
32,12,0.625,0.625,320,320,prostate_32_slice_12.npy,label_32_slice_12.npy,train
32,13,0.625,0.625,320,320,prostate_32_slice_13.npy,label_32_slice_13.npy,train
32,14,0.625,0.625,320,320,prostate_32_slice_14.npy,label_32_slice_14.npy,train
32,15,0.625,0.625,320,320,prostate_32_slice_15.npy,label_32_slice_15.npy,train
32,16,0.625,0.625,320,320,prostate_32_slice_16.npy,label_32_slice_16.npy,train
32,17,0.625,0.625,320,320,prostate_32_slice_17.npy,label_32_slice_17.npy,train
32,18,0.625,0.625,320,320,prostate_32_slice_18.npy,label_32_slice_18.npy,train
32,19,0.625,0.625,320,320,prostate_32_slice_19.npy,label_32_slice_19.npy,train
39,0,0.625,0.625,308,308,prostate_39_slice_0.npy,label_39_slice_0.npy,train
39,1,0.625,0.625,308,308,prostate_39_slice_1.npy,label_39_slice_1.npy,train
39,2,0.625,0.625,308,308,prostate_39_slice_2.npy,label_39_slice_2.npy,train
39,3,0.625,0.625,308,308,prostate_39_slice_3.npy,label_39_slice_3.npy,train
39,4,0.625,0.625,308,308,prostate_39_slice_4.npy,label_39_slice_4.npy,train
39,5,0.625,0.625,308,308,prostate_39_slice_5.npy,label_39_slice_5.npy,train
39,6,0.625,0.625,308,308,prostate_39_slice_6.npy,label_39_slice_6.npy,train
39,7,0.625,0.625,308,308,prostate_39_slice_7.npy,label_39_slice_7.npy,train
39,8,0.625,0.625,308,308,prostate_39_slice_8.npy,label_39_slice_8.npy,train
39,9,0.625,0.625,308,308,prostate_39_slice_9.npy,label_39_slice_9.npy,train
39,10,0.625,0.625,308,308,prostate_39_slice_10.npy,label_39_slice_10.npy,train
39,11,0.625,0.625,308,308,prostate_39_slice_11.npy,label_39_slice_11.npy,train
39,12,0.625,0.625,308,308,prostate_39_slice_12.npy,label_39_slice_12.npy,train
39,13,0.625,0.625,308,308,prostate_39_slice_13.npy,label_39_slice_13.npy,train
39,14,0.625,0.625,308,308,prostate_39_slice_14.npy,label_39_slice_14.npy,train
39,15,0.625,0.625,308,308,prostate_39_slice_15.npy,label_39_slice_15.npy,train
38,0,0.625,0.625,320,320,prostate_38_slice_0.npy,label_38_slice_0.npy,train
38,1,0.625,0.625,320,320,prostate_38_slice_1.npy,label_38_slice_1.npy,train
38,2,0.625,0.625,320,320,prostate_38_slice_2.npy,label_38_slice_2.npy,train
38,3,0.625,0.625,320,320,prostate_38_slice_3.npy,label_38_slice_3.npy,train
38,4,0.625,0.625,320,320,prostate_38_slice_4.npy,label_38_slice_4.npy,train
